Source,Target,Type,Kind,Id,Label,timeset,Weight
@3mptyu,@tomeesc,Directed,Mention,2342,,"<[2021-05-20T19:25:23.662Z, 2021-05-20T19:25:29.053Z]>",2
@plutoseok,@eurovision,Directed,Quote,2343,,<[2021-05-20T19:25:23.677Z]>,1
@_andreamanzano,@pablo_talifan,Directed,Mention,2344,,<[2021-05-20T19:25:24.060Z]>,1
@_andreamanzano,@pablo_talifan,Directed,Retweet,2345,,<[2021-05-20T19:25:24.060Z]>,1
@osakisakii,@cajodhibiskusa,Directed,Mention,2346,,<[2021-05-20T19:25:24.270Z]>,1
@osakisakii,@cajodhibiskusa,Directed,Retweet,2347,,<[2021-05-20T19:25:24.270Z]>,1
@rafalapislazuli,@odiomalley,Directed,Mention,2348,,<[2021-05-20T19:25:24.315Z]>,1
@rafalapislazuli,@odiomalley,Directed,Retweet,2349,,<[2021-05-20T19:25:24.316Z]>,1
@ugurcan851,@eurovisn_turkey,Directed,Mention,2350,,<[2021-05-20T19:25:24.386Z]>,1
@dimandresakis,@panosdotkom,Directed,Mention,2351,,<[2021-05-20T19:25:24.497Z]>,1
@dimandresakis,@panosdotkom,Directed,Retweet,2352,,<[2021-05-20T19:25:24.497Z]>,1
@szare_krokodyle,@royalnavvy,Directed,Mention,2353,,<[2021-05-20T19:25:24.577Z]>,1
@szare_krokodyle,@royalnavvy,Directed,Retweet,2354,,<[2021-05-20T19:25:24.577Z]>,1
@kissed__byfire,@anutka_zdes,Directed,Mention,2355,,<[2021-05-20T19:25:24.604Z]>,1
@kissed__byfire,@anutka_zdes,Directed,Retweet,2356,,<[2021-05-20T19:25:24.604Z]>,1
@anaaasm7,@itsmalbert,Directed,Mention,2357,,<[2021-05-20T19:25:24.701Z]>,1
@anaaasm7,@itsmalbert,Directed,Retweet,2358,,<[2021-05-20T19:25:24.701Z]>,1
@lalalalemooon,@sad_huinya,Directed,Mention,2359,,<[2021-05-20T19:25:24.737Z]>,1
@lalalalemooon,@sad_huinya,Directed,Retweet,2360,,<[2021-05-20T19:25:24.737Z]>,1
@madrideuro,@alber_ab_94,Directed,Mention,2361,,<[2021-05-20T19:25:24.763Z]>,1
@madrideuro,@alber_ab_94,Directed,Retweet,2362,,<[2021-05-20T19:25:24.763Z]>,1
@agreving,@eurovision,Directed,Mention,2363,,<[2021-05-20T19:25:25.046Z]>,1
@idiot_offline_x,@t_sentyabrskaya,Directed,Mention,2364,,<[2021-05-20T19:25:25.123Z]>,1
@idiot_offline_x,@t_sentyabrskaya,Directed,Retweet,2365,,<[2021-05-20T19:25:25.123Z]>,1
@crookedteaspoon,@commonescgirl,Directed,Mention,2366,,<[2021-05-20T19:25:25.167Z]>,1
@crookedteaspoon,@commonescgirl,Directed,Retweet,2367,,<[2021-05-20T19:25:25.167Z]>,1
@alnt_16,@sonolaferaz,Directed,Mention,2368,,<[2021-05-20T19:25:25.302Z]>,1
@alnt_16,@sonolaferaz,Directed,Retweet,2369,,<[2021-05-20T19:25:25.303Z]>,1
@kinin0,@albertcmmm,Directed,Mention,2370,,<[2021-05-20T19:25:25.352Z]>,1
@kinin0,@albertcmmm,Directed,Retweet,2371,,<[2021-05-20T19:25:25.352Z]>,1
@fiercefabrev,@bbceurovision,Directed,Mention,2372,,<[2021-05-20T19:25:25.389Z]>,1
@fiercefabrev,@bbceurovision,Directed,Retweet,2373,,<[2021-05-20T19:25:25.390Z]>,1
@mariamahmout,@panos_p95,Directed,Mention,2374,,<[2021-05-20T19:25:25.529Z]>,1
@mariamahmout,@panos_p95,Directed,Retweet,2375,,<[2021-05-20T19:25:25.529Z]>,1
@mululizu,@huertdeauteuil,Directed,Mention,2376,,"<[2021-05-20T19:25:25.776Z, 2021-05-20T19:25:33.673Z]>",2
@mululizu,@huertdeauteuil,Directed,Retweet,2377,,"<[2021-05-20T19:25:25.777Z, 2021-05-20T19:25:33.673Z]>",2
@escmemes,@sammarinoesc,Directed,Mention,2378,,<[2021-05-20T19:25:25.823Z]>,1
@escmemes,@sammarinoesc,Directed,Retweet,2379,,<[2021-05-20T19:25:25.823Z]>,1
@hannah_deforest,@fernicv,Directed,Mention,2380,,"<[2021-05-20T19:25:25.903Z, 2021-05-20T19:28:29.225Z]>",2
@hannah_deforest,@fernicv,Directed,Retweet,2381,,"<[2021-05-20T19:25:25.903Z, 2021-05-20T19:28:29.225Z]>",2
@_elisabeth_2,@serjicruz,Directed,Mention,2382,,<[2021-05-20T19:25:26.051Z]>,1
